P35,Doylestown,402230,751500,0.37567,-1.36959,402230,750730,0.37827,-1.38094,401500,751500,0.38462,-1.37230,401500,750730,0.38685,-1.38314
P36,Buckingham Pa,402230,750730,0.37827,-1.38094,402230,750000,0.38087,-1.39229,401500,750730,0.38685,-1.38314,401500,750000,0.38908,-1.39399
076,Lambertville Pa-NJ,402230,750000,0.38087,-1.39229,402230,745230,0.38160,-1.40560,401500,750000,0.38908,-1.39399,401500,745230,0.38976,-1.40722
077,Pennington NJ-Pa,402230,745230,0.38160,-1.40560,402230,744500,0.38234,-1.41891,401500,745230,0.38976,-1.40722,401500,744500,0.39043,-1.42044
078,Princeton NJ,402230,744500,0.38234,-1.41891,402230,743730,0.38379,-1.43371,401500,744500,0.39043,-1.42044,401500,743730,0.39330,-1.43574
079,Hightstown NJ,402230,743730,0.38379,-1.43371,402230,743000,0.38524,-1.44851,401500,743730,0.39330,-1.43574,401500,743000,0.39616,-1.45103
080,Jamesburg NJ,402230,743000,0.38524,-1.44851,402230,742230,0.38804,-1.46283,401500,743000,0.39616,-1.45103,401500,742230,0.39842,-1.46367
081,Freehold NJ,402230,742230,0.38804,-1.46283,402230,741500,0.39084,-1.47715,401500,742230,0.39842,-1.46367,401500,741500,0.40067,-1.47631
082,Marlboro NJ,402230,741500,0.39084,-1.47715,402230,740730,0.39263,-1.48992,401500,741500,0.40067,-1.47631,401500,740730,0.40238,-1.49122
083,Long Branch NJ,402230,740730,0.39263,-1.48992,402230,740000,0.39443,-1.50269,401500,740730,0.40238,-1.49122,401500,740000,0.40409,-1.50614
A04,Long Branch NJ / Atlantic Ocean,402230,740000,0.39443,-1.50269,402230,735230,0.39310,-1.51481,401500,740000,0.40409,-1.50614,401500,735230,0.40239,-1.51828
A05,Atlantic Ocean,402230,735230,0.39310,-1.51481,402230,734500,0.39178,-1.52693,401500,735230,0.40239,-1.51828,401500,734500,0.40068,-1.53042
A06,Atlantic Ocean,402230,734500,0.39178,-1.52693,402230,733730,0.38787,-1.53619,401500,734500,0.40068,-1.53042,401500,733730,0.39680,-1.54049
P37,Phoenixville Pa,401500,753730,0.34900,-1.33850,401500,753000,0.36400,-1.36400,400730,753730,0.36849,-1.28541,400730,753000,0.37765,-1.31581
P38,Collegeville Pa,401500,753000,0.36400,-1.36400,401500,752230,0.37431,-1.36815,400730,753000,0.37765,-1.31581,400730,752230,0.38639,-1.33755
P39,Lansdale Pa,401500,752230,0.37431,-1.36815,401500,751500,0.38462,-1.37230,400730,752230,0.38639,-1.33755,400730,751500,0.39514,-1.35928
P40,Ambler Pa,401500,751500,0.38462,-1.37230,401500,750730,0.38685,-1.38314,400730,751500,0.39514,-1.35928,400730,750730,0.39579,-1.37485
P41,Hatboro Pa,401500,750730,0.38685,-1.38314,401500,750000,0.38908,-1.39399,400730,750730,0.39579,-1.37485,400730,750000,0.39644,-1.39042
